127.0.0.1 - - [04/Apr/2021:14:25:29 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Apr/2021:14:25:33 +0900] "GET /%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%EB%93%B1%EB%A1%9D&%EC%82%AD%EC%A0%9C&%EC%83%81%ED%92%88%EC%9D%B4%EB%AF%B8%EC%A7%80_%EC%88%98%EC%A0%95%EB%B3%B8/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2021:14:25:34 +0900] "GET /%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%EB%93%B1%EB%A1%9D&%EC%82%AD%EC%A0%9C&%EC%83%81%ED%92%88%EC%9D%B4%EB%AF%B8%EC%A7%80_%EC%88%98%EC%A0%95%EB%B3%B8/cjkit/web/css/common.css?20200924090025 HTTP/1.1" 200 147378
0:0:0:0:0:0:0:1 - - [04/Apr/2021:14:25:34 +0900] "GET /cjkit/web/js/libs/jquery-1.11.2.min.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [04/Apr/2021:14:25:34 +0900] "GET /%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%EB%93%B1%EB%A1%9D&%EC%82%AD%EC%A0%9C&%EC%83%81%ED%92%88%EC%9D%B4%EB%AF%B8%EC%A7%80_%EC%88%98%EC%A0%95%EB%B3%B8/js/jquery/jquery.form.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [04/Apr/2021:14:25:35 +0900] "GET /cjkit/mobile/css/swiper.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [04/Apr/2021:14:25:35 +0900] "GET /%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%EB%93%B1%EB%A1%9D&%EC%82%AD%EC%A0%9C&%EC%83%81%ED%92%88%EC%9D%B4%EB%AF%B8%EC%A7%80_%EC%88%98%EC%A0%95%EB%B3%B8/js/crew/crew17e0.js?20200924090026 HTTP/1.1" 200 5794
0:0:0:0:0:0:0:1 - - [04/Apr/2021:14:25:35 +0900] "GET /%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%EB%93%B1%EB%A1%9D&%EC%82%AD%EC%A0%9C&%EC%83%81%ED%92%88%EC%9D%B4%EB%AF%B8%EC%A7%80_%EC%88%98%EC%A0%95%EB%B3%B8/js/oauth/kakao.min.js HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [04/Apr/2021:14:25:35 +0900] "GET /%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%EB%93%B1%EB%A1%9D&%EC%82%AD%EC%A0%9C&%EC%83%81%ED%92%88%EC%9D%B4%EB%AF%B8%EC%A7%80_%EC%88%98%EC%A0%95%EB%B3%B8/js/cj17e0.js?20200924090026 HTTP/1.1" 200 80578
0:0:0:0:0:0:0:1 - - [04/Apr/2021:14:25:35 +0900] "GET /%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%EB%93%B1%EB%A1%9D&%EC%82%AD%EC%A0%9C&%EC%83%81%ED%92%88%EC%9D%B4%EB%AF%B8%EC%A7%80_%EC%88%98%EC%A0%95%EB%B3%B8/js/crew/form/form17e0.js?20200924090026 HTTP/1.1" 200 14432
0:0:0:0:0:0:0:1 - - [04/Apr/2021:14:25:35 +0900] "GET /%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%EB%93%B1%EB%A1%9D&%EC%82%AD%EC%A0%9C&%EC%83%81%ED%92%88%EC%9D%B4%EB%AF%B8%EC%A7%80_%EC%88%98%EC%A0%95%EB%B3%B8/js/oauth/naveridlogin_js_sdk_2.0.0.js HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [04/Apr/2021:14:25:35 +0900] "GET /%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%EB%93%B1%EB%A1%9D&%EC%82%AD%EC%A0%9C&%EC%83%81%ED%92%88%EC%9D%B4%EB%AF%B8%EC%A7%80_%EC%88%98%EC%A0%95%EB%B3%B8/js/webtoolkit.base64.js HTTP/1.1" 404 1004
